App_Running,Screen_On_Time_min,CPU_Usage_%,Battery_Temperature_C,Battery_Drop_Per_Hour,Network_Type,Brightness_Level_%,RAM_Usage_MB,Charging_State,Usage_Mode,Intensity,Total_Battery_Drain,High_Temperature
Facebook,70.77924426018649,55.550654917564856,34.30100540494625,6.02022829972206,5G,57,2941.852469083751,Charging,Gaming,163.42183132845759,7.101786822135248,0
PUBG,90.04428206396435,10.506832422644417,35.607895002696914,13.372379007889046,WiFi,10,1930.5814582846456,Not Charging,Social Media,20.284295860461253,20.06843778754328,1
Maps,75.197223681964,38.529769421586494,43.31277540557011,3.514550095297197,5G,37,2169.8288988055047,Charging,Social Media,83.60300715527103,4.404740160958854,1
WhatsApp,114.76249453101866,26.89845359601823,33.79519708572041,6.728474786979605,WiFi,33,2329.369144961256,Charging,Browsing,62.65642785373701,12.869609182380731,0
Facebook,52.21467469663912,36.86234886456955,41.089635709872574,19.134837022052047,5G,25,2175.002939111997,Charging,Video Streaming,80.17571712301054,16.651988174660907,1
Camera,78.70889612087288,45.64676435875532,37.39998497167519,9.292170616945574,5G,58,2382.6140577908745,Charging,Social Media,108.75862245383787,12.189608197109942,1
Instagram,85.1421593740171,38.31212761832137,42.09201273018292,15.551492893105172,4G,60,1045.270935540352,Charging,Navigation,40.04655347814413,22.06812810681091,1
Facebook,70.5386487038385,19.846663968322176,33.3078210759259,11.859158649238308,5G,98,2116.3673522300464,Not Charging,Social Media,42.002831673237466,13.942150431361815,0
Maps,8.217933426063468,27.48130792649782,38.48068120984784,8.600318728526915,4G,25,2151.746860982305,Charging,Video Streaming,59.13281806652982,1.17794744589935,1
WhatsApp,75.97737729877018,56.39889470486699,34.703659886998295,3.678953636497337,4G,59,1008.1114798139422,Charging,Social Media,56.856373200794174,4.658620808414013,0
PUBG,102.50442467281168,39.93399340886148,20.05303489418393,13.166510532821889,4G,62,2585.4822256679595,Charging,Gaming,103.24863015855281,22.493759785257048,0
Maps,99.45272965315044,47.60478691377273,29.550782074897626,19.27302769534432,5G,68,1653.187959118104,Charging,Video Streaming,78.69966052223215,31.94592021637933,0
Maps,88.869462054255,38.75442965274564,37.91188472976376,8.742362601171227,4G,90,2765.3975341875894,Not Charging,Music,107.17140420054919,12.948817690822073,1
Instagram,52.55344104126941,47.1367410236288,37.58132458139999,12.3429917711443,WiFi,50,2251.570996376837,Not Charging,Gaming,106.13171895252881,10.81111150529509,1
Chrome,89.8827365614621,29.05780865094017,28.525113056825383,4.401055983240039,WiFi,88,1855.430873739835,Not Charging,Social Media,53.91475529417886,6.592982592230183,0
WhatsApp,65.66405446144405,23.487325298488464,36.10183774419002,8.639124043749765,5G,26,2802.8152351177714,Charging,Music,65.83063317877053,9.45466519513259,1
